gtfs_id,vehicle_no,short_name
bhubaneshwar_bus,OD33U9306,O9306
bhubaneshwar_bus,OD33U9305,O9305
bhubaneshwar_bus,OD33U9307,O9307
bhubaneshwar_bus,OD33U9308,O9308
bhubaneshwar_bus,OD33U9309,O9309
bhubaneshwar_bus,OD33U9310,O9310
bhubaneshwar_bus,OD33U9311,O9311
bhubaneshwar_bus,OD33U9312,O9312
bhubaneshwar_bus,OD33U9313,O9313
bhubaneshwar_bus,OD33U9314,O9314
bhubaneshwar_bus,OD33U9315,O9315
bhubaneshwar_bus,OD33U9316,O9316
bhubaneshwar_bus,OD33U9317,O9317
bhubaneshwar_bus,OD33U9318,O9318
bhubaneshwar_bus,OD33U9319,O9319
bhubaneshwar_bus,OD33U9320,O9320
bhubaneshwar_bus,OD33U9321,O9321
bhubaneshwar_bus,OD33U9322,O9322
bhubaneshwar_bus,OD33U9323,O9323
bhubaneshwar_bus,OD33U9324,O9324
bhubaneshwar_bus,OD33U9325,O9325
bhubaneshwar_bus,OD33U9326,O9326
bhubaneshwar_bus,OD33U9327,O9327
bhubaneshwar_bus,OD33V2401,O2401
bhubaneshwar_bus,OD33V2402,O2402
bhubaneshwar_bus,OD33V2403,O2403
bhubaneshwar_bus,OD33V2404,O2404
bhubaneshwar_bus,OD33V2405,O2405
bhubaneshwar_bus,OD33V2406,O2406
bhubaneshwar_bus,OD33V2407,O2407
bhubaneshwar_bus,OD33V2408,O2408
bhubaneshwar_bus,OD33V2409,O2409
bhubaneshwar_bus,OD33V2410,O2410
bhubaneshwar_bus,OD33V2411,O2411
bhubaneshwar_bus,OD33V2412,O2412
bhubaneshwar_bus,OD33V2413,O2413
bhubaneshwar_bus,OD33V2414,O2414
bhubaneshwar_bus,OD33V2415,O2415
bhubaneshwar_bus,OD33V2416,O2416
bhubaneshwar_bus,OD33V2417,O2417
bhubaneshwar_bus,OD33V3512,O3512
bhubaneshwar_bus,OD33V3601,O3601
bhubaneshwar_bus,OD33V4561,O4561
bhubaneshwar_bus,OD33V4562,O4562
bhubaneshwar_bus,OD33V4570,O4570
bhubaneshwar_bus,OD33V5429,O5429
bhubaneshwar_bus,OD33V5433,O5433
bhubaneshwar_bus,OD33V5436,O5436
bhubaneshwar_bus,OD33V5439,O5439
bhubaneshwar_bus,OD33V5433,D5433
bhubaneshwar_bus,OD33V5442,O5442
bhubaneshwar_bus,OD33V5441,O5441
bhubaneshwar_bus,OD33V5440,O5440
bhubaneshwar_bus,OD33V5438,O5438
bhubaneshwar_bus,OD33V5437,O5437
bhubaneshwar_bus,OD33V5435,O5435
bhubaneshwar_bus,OD33V5434,O5434
bhubaneshwar_bus,OD33V5432,O5432
bhubaneshwar_bus,OD33V5431,O5431
bhubaneshwar_bus,OD33V5430,O5430
bhubaneshwar_bus,OD33V5428,O5428
bhubaneshwar_bus,OD33V4577,O4577
bhubaneshwar_bus,OD33V4576,O4576
bhubaneshwar_bus,OD33V4575,O4575
bhubaneshwar_bus,OD33V4574,O4574
bhubaneshwar_bus,OD33V4573,O4573
bhubaneshwar_bus,OD33V4572,O4572
bhubaneshwar_bus,OD33V4571,O4571
bhubaneshwar_bus,OD33V4569,O4569
bhubaneshwar_bus,OD33V4568,O4568
bhubaneshwar_bus,OD33V4567,O4567
bhubaneshwar_bus,OD33V4566,O4566
bhubaneshwar_bus,OD33V4565,O4565
bhubaneshwar_bus,OD33V4564,O4564
bhubaneshwar_bus,OD33V4563,O4563
bhubaneshwar_bus,OD33V3513,O3513
bhubaneshwar_bus,OD33V3511,O3511
bhubaneshwar_bus,OD33V3510,O3510
bhubaneshwar_bus,OD33V3509,O3509
bhubaneshwar_bus,OD33V3508,O3508
bhubaneshwar_bus,OD33V3507,O3507
bhubaneshwar_bus,OD33V3506,O3506
bhubaneshwar_bus,OD33V3505,O3505
bhubaneshwar_bus,OD33V3504,O3504
bhubaneshwar_bus,OD33V3503,O3503
bhubaneshwar_bus,OD33V3502,O3502
bhubaneshwar_bus,OD33V2901,O2901
bhubaneshwar_bus,OD33V2900,O2900
bhubaneshwar_bus,OD33V2899,O2899
bhubaneshwar_bus,OD33V2898,O2898
bhubaneshwar_bus,OD33V2897,O2897
bhubaneshwar_bus,OD33V2896,O2896
bhubaneshwar_bus,OD33V2895,O2895
bhubaneshwar_bus,OD33V2894,O2894
bhubaneshwar_bus,OD33V2893,O2893
bhubaneshwar_bus,OD33V2420,O2420
bhubaneshwar_bus,OD33V2419,O2419
bhubaneshwar_bus,OD33V2418,O2418
bhubaneshwar_bus,OD33U9331,O9331
bhubaneshwar_bus,OD33U9330,O9330
bhubaneshwar_bus,OD33U6517,O6517
bhubaneshwar_bus,OD33U6518,O6518
