S. No.,Depot Code,Depot Name,Phone Number
1,AB,Adambakkam Depot,e250e703abe560f3cf71425d9f63a9a559393f23e8d672ecd8281e63d3963300
2,AD,Adyar Depot,0e04e3cabe94509d08958a79777e2d565205f07935d6f2f237b53a047d1f06f3
3,AM,Ambattur Depot,e6b74d15b602a61d85b897cc1a84ec41bce26bc178ab1d784ad8179465d738ca
4,AN,Anna Nagar Depot,0c77a66ad36d9fb4ff9ae7c8d4f95447355608799b82d11730c49745c3062662
5,AW,Anna Nagar East Depot,23809c0b16aaf0d13c3dc579e99ee6ec244a7ec673c4b66134d56a05b4319cce
6,AV,Avadi Depot,866dc8212cbd9a073a899632bc11f8b14ad25e73f5e708eedc43a4e7b7a6cfc6
7,AY,Ayanavaram Depot,88d0e092cf8b00acca3d16bc0f42bb3dcedf8ef15d5d4704375af0f4324870a4
8,BB,Basin Bridge Depot,3e9dfa6e776b79d076e919156aa41741b5f79e697d93695f7dbb7c082defd442
9,CR,Chromepet -I Depot,469db63e90eeec6d972e5b864538481b1bacb0e9dcc5d32e2fb0401fb0384f13
10,CW,Chromepet -II Depot,f2b16beb12c22fdc77e0568d7e8e89c30534344b5dfa376ea465f6790d1f0d13
11,EN,Ennore Depot,aca6d0eed8f21b0539f0c1f3c0f68f92bd00d03cd2508e2276180abd8d6e336b
12,IY,Iyyapanthangal Depot,f8a7ea423e99a3830baef7dc19be0e975e2c5c9c91e3715c74e1b7f4e57d1126
13,KN,K.K. Nagar Depot,0e34358dbccfd91803c2334bf424437d1a1061a8e63e779855767c9f714af770
14,KA,Kannagi Nagar Depot,7fe1060580d038528e4b090883df8657789a9e4025dde91be28a670e31e0ca23
15,KB,Kilambakkam Depot,e6364aabb30a194aa202a1699bbd365520e0692599bb50a7e20d9d587cf86de0
16,KU,Kundrathur Depot,b6e30a95c46ffa326b8d6e58ece2dd239c1b3dfbb768ef5f06c006d838963d20
17,MV,Madhavaram Depot,d6d95ac446372697dbe80982bdc011cb8c220e446823728a028ad4b62f88be42
18,MN,Mandaveli Depot,aab5937f777cee0c7b0ed1b6124d84f2b39bb04817eeab52d6146e18d88de17d
19,PD,Padiyanallur Depot,b6d28f1a84099bf972dcf37ef50fb3034cbcaaba194c5ff8ae5a3909cb0899fe
20,PR,Perambur Depot,88d0e092cf8b00acca3d16bc0f42bb3dcedf8ef15d5d4704375af0f4324870a4
21,PE,Perumbakkam Depot,3ef901047b8585d8dfb37c21bed7c798ed66b10b0bf2e5e0e32279f9ec51a2c8
22,PM,Poonamallee Depot,5e07a311d899ab6df62f907d952fab7481b50e4d2cd6e4185a6212a389fe4c2a
23,PN,Poonamallee Depot EV,f40ad7ee46c2ed4cde27c29c0b50d79f53ae1e6aac578be030d8e667a938c61e
24,SP,Saidapet Depot,7bf8daa1c32d5c6b4031315710cea524dd98ec541dcc48823d68cecba465cf09
25,SM,Semmancheri Depot,9432eaf65c69d9209302a31e0053920fdac8c323e71b300146d8d6b83792d3fc
26,TN,T.Nagar Depot,bb59b1d41c206c8a7e58df05a73cc6a10153e5a87ee02287d2d41d3479be2496
27,TA,Tambaram Depot,6ce45b5f780a21dc009298e4f5a56bd4ba09b1c122bfa8a75ff043bae12a74f7
28,TR,Thiruvanmiyur Depot,71ca8d8070b788648006123e97ab88fa6cbe659ff92698901965f5ae94159488
29,TW,Tondiarpet-2 Depot,d1701592cfbecbed11f6b2873eb8a3e4258fa8c0baeba284bc71ae816b38e12d
30,TD,Tondiarpet-1 Depot,9b8cea248e0e34c12740a94e8c11e3e7fb03c125e913b80a7f35d789a4c8cb71
31,VP,Vadapalani Depot,a6fab2ea02600f40543c9424789e26540e5af36cca7ae36960822aa99967350c
32,VY,Vysarpadi Depot,38d61f88b9e37a754819c1ad79d861b5003f13b99bbadebc1f8b68ced20fe092
33,CD,Central Depot,1fa1cd93fd73f99404987a8c358c31fee86a380c8d15156b795932b310736244
