gtfs_id,vehicle_no,tag_number
chennai_bus,K5654,P1
chennai_bus,K5655,P2
chennai_bus,K5656,P3
chennai_bus,K5657,P4
chennai_bus,K5658,P5
chennai_bus,K5659,P6
chennai_bus,K5660,P7
chennai_bus,K5661,P8
chennai_bus,K5662,P10
chennai_bus,K5663,P9
kolkata_bus,W1001,1001
kolkata_bus,W1002,1002
kolkata_bus,W1003,1003
kolkata_bus,W1004,1004
kolkata_bus,W1005,1005
kolkata_bus,W9991,9991
kolkata_bus,W9992,9992
kolkata_bus,W9993,9993
kolkata_bus,W9994,9994
kolkata_bus,W9995,9995
kolkata_bus,W9999,9999
kolkata_bus,M1364,M1364
kolkata_bus,M4346,M4346
kolkata_bus,M0167,M0167
kolkata_bus,P3363,P3363
kolkata_bus,P4116,P4116
kolkata_bus,M0131,M0131
kolkata_bus,M4861,M4861
kolkata_bus,M3363,M3363
Kolkata_bus,L5133,L5133
Kolkata_bus,M0131,M0131
