route_id,service_tier_type
AGitzEeu,NON_AC
APySxAVg,AC
ASppFupQ,AC
AUFMswRu,AC
AYPxYBxZ,AC
AfrIjAmq,AC
AieFYcis,NON_AC
AjYzDHPp,AC
AtjKhyZw,NON_AC
AxCPJmxw,NON_AC
BDRdtyEI,NON_AC
BRLaobKI,NON_AC
BbaRzhyp,AC
BdPRfrWf,NON_AC
BmgfTGIs,NON_AC
BrJIzpjt,AC
BvVtknFN,NON_AC
CEPYgGzx,NON_AC
CGQAeOCs,AC
CHfvvkBW,NON_AC
CNThzwjp,NON_AC
CQnSRJGs,AC
CQzIXwwb,NON_AC
CehqhBGk,AC
CsBdKvHg,AC
CvQfnhbi,NON_AC
CyXQqWpn,NON_AC
DKCycbNB,AC
DNMHCkYZ,AC
DNaUFcKZ,NON_AC
DyGuhFaI,AC
DyIdJqBN,AC
EJQfymKl,NON_AC
ELIuvjUO,NON_AC
EPiQSGpc,AC
ERWtexPa,AC
EgXcAnpU,NON_AC
EopRaHQS,NON_AC
ErAkUgtQ,NON_AC
EsFIdjwM,NON_AC
FDbbsaNy,NON_AC
FFGqQWHV,NON_AC
FHGXJetV,NON_AC
FJqcUjFl,AC
FRzOAZLo,NON_AC
FXzARFfo,AC
FdHQXesh,AC
FenRpQfx,AC
FgByMUmn,AC
FiOHbZhw,NON_AC
FiPOrPrt,AC
FlqitMCN,AC
FuZnwHGo,NON_AC
GAZXbLeo,NON_AC
GHLLmDXd,NON_AC
GLLVdJKP,AC
GMXyxWYz,AC
GcexRcWD,AC
GgYytbrU,AC
GiVmsSqg,AC
GkWAoBUD,AC
GlUhKOob,AC
GrAZirYt,AC
GvQIkdyV,AC
HBWfvGjA,AC
HGBjBURT,AC
HOQNiFlM,NON_AC
HOsAUbRi,AC
HXNygifQ,NON_AC
HdvptAEp,NON_AC
HeRDyLzE,NON_AC
HhZqXfwI,AC
HxGcJYCG,AC
ICbaLvnW,AC
IJagVXwM,AC
IRXmuoHP,AC
IRhfqnxU,AC
IYKpKuKu,AC
IhZtIaBW,NON_AC
IqKEXaXH,NON_AC
ItCPWGLB,NON_AC
IvrKgnlN,NON_AC
JCbUGiha,AC
JHLkeNPH,AC
JLekFtzo,NON_AC
JNiRjoSn,AC
JXPfeGeF,NON_AC
JaCJhqTW,NON_AC
JaCbtRuK,NON_AC
JhitXyHT,NON_AC
JjBtgkyf,AC
JmayjEYu,NON_AC
JrDdVXUS,AC
KNGconTi,AC
KdwVrsKJ,NON_AC
KePsGLCw,NON_AC
