fleet_id,gtfs_id,seat_layout_id
I1234,chennai_bus,seat-layout-001
I1235,chennai_bus,seat-layout-001
I1236,chennai_bus,seat-layout-001
K5654,chennai_bus,seat-layout-001
K5655,chennai_bus,seat-layout-001
K5656,chennai_bus,seat-layout-001
K5657,chennai_bus,seat-layout-001
K5658,chennai_bus,seat-layout-001
K5659,chennai_bus,seat-layout-001
K5660,chennai_bus,seat-layout-001
K5661,chennai_bus,seat-layout-001
K5662,chennai_bus,seat-layout-001
K5663,chennai_bus,seat-layout-001
KA04NB7567,chennai_bus,seat-layout-002
KA05NK2888,chennai_bus,seat-layout-002
KA03NU3155,chennai_bus,seat-layout-002
