gtfs_id,stop_id,Location Name,platforms
chennai_suburban,PV,PALLAVARAM,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""CGL""}]"
chennai_suburban,TLM,TIRUSULAM,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""CGL""}]"
chennai_suburban,MN,MINAMBAKKAM,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""CGL""}]"
chennai_suburban,PZA,PALAVANTANGAL,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""CGL""}]"
chennai_suburban,STM,ST. THOMAS MOUNT,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""CGL""}]"
chennai_suburban,GDY,GUINDY,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""CGL""}]"
chennai_suburban,SP,SAIDAPET,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""CGL""}]"
chennai_suburban,MBM,MAMBALAM,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""CGL""}]"
chennai_suburban,MKK,KODAMBAKKAM,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""CGL""}]"
chennai_suburban,NBK,NUNGAMBAKKAM,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""CGL""}]"
chennai_suburban,MSC,CHETPET,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""CGL""}]"
chennai_suburban,MS,CHENNAI EGMORE,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""10"",""direction"":""CGL""}]"
chennai_suburban,CMP,CHROMEPET,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""CGL""}]"
chennai_suburban,TBMS,TAMBARAM SANATORIUM,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""CGL""}]"
chennai_suburban,TBM,TAMBARAM,"[{""platforms"":""1,2,3,4"",""direction"":""MSB""},{""platforms"":""1,2,3,4"",""direction"":""CGL""}]"
chennai_suburban,PRGL,PERUNGALATHUR,"[{""platforms"":""1,2"",""direction"":""MSB""},{""platforms"":""1,3"",""direction"":""CGL""}]"
chennai_suburban,VDR,VANDALUR,"[{""platforms"":""1,2"",""direction"":""MSB""},{""platforms"":""1,3"",""direction"":""CGL""}]"
chennai_suburban,UPM,URAPAKKAM,"[{""platforms"":""1,2"",""direction"":""MSB""},{""platforms"":""1,3"",""direction"":""CGL""}]"
chennai_suburban,GI,GUDUVANCHERI,"[{""platforms"":""1,3"",""direction"":""MSB""},{""platforms"":""1,4"",""direction"":""CGL""}]"
chennai_suburban,POTI,POTHERI,"[{""platforms"":""1,3"",""direction"":""MSB""},{""platforms"":""1,4"",""direction"":""CGL""}]"
chennai_suburban,VLK,VILLIVAKKAM,"[{""platforms"":""1"",""direction"":""TRL""},{""platforms"":""2"",""direction"":""MASS""}]"
chennai_suburban,KOTR,KORATTUR,"[{""platforms"":""1"",""direction"":""AJJ""},{""platforms"":""2"",""direction"":""MASS""}]"
chennai_suburban,PVM,PATTARAVAKKAM,"[{""platforms"":""1"",""direction"":""AJJ""},{""platforms"":""2"",""direction"":""MASS""}]"
chennai_suburban,CTM,KATTANGALATHUR,"[{""platforms"":""1,3"",""direction"":""MSB""},{""platforms"":""1,4"",""direction"":""CGL""}]"
chennai_suburban,MMNK,MARAIMALAI NAGAR,"[{""platforms"":""1,3"",""direction"":""MSB""},{""platforms"":""1,4"",""direction"":""CGL""}]"
chennai_suburban,SKL,SINGAPERUMAL KOIL,"[{""platforms"":""1,3,5"",""direction"":""MSB""},{""platforms"":""1,4,2"",""direction"":""CGL""}]"
chennai_suburban,PWU,PARANUR,"[{""platforms"":""1,3"",""direction"":""MSB""},{""platforms"":""1,4"",""direction"":""CGL""}]"
chennai_suburban,CGL,CHENGALPATTU JN,"[{""platforms"":""1,2,3,4"",""direction"":""MSB""}]"
chennai_suburban,OTTIVAKKAM,OTTIVAKKAM,"[{""platforms"":""2"",""direction"":""VM""},{""platforms"":""1"",""direction"":""TBM""}]"
chennai_suburban,MPK,CHENNAI PARK,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""TBM""}]"
chennai_suburban,MSF,CHENNAI FORT,"[{""platforms"":""1"",""direction"":""MSB""},{""platforms"":""2"",""direction"":""TBM""}]"
chennai_suburban,MSB,CHENNAI BEACH JN,"[]"
